x,y,global_ctr,tag,ld,st,amoswap,amoor
0,0,284141,2231631872,3,32,0,0
1,0,284141,2231631872,2,32,0,0
2,0,284141,2231631872,136,38,0,0
3,0,284141,2231631872,105,32,0,0
4,0,284141,2231631872,94,32,0,0
5,0,284141,2231631872,2,32,0,0
6,0,284141,2231631872,1,32,0,0
7,0,284141,2231631872,0,32,0,0
8,0,284141,2231631872,0,32,0,0
9,0,284141,2231631872,0,31,0,0
10,0,284141,2231631872,0,16,0,0
11,0,284141,2231631872,0,16,0,0
12,0,284141,2231631872,0,16,0,0
13,0,284141,2231631872,0,16,0,0
14,0,284141,2231631872,2,16,0,0
15,0,284141,2231631872,1,16,0,0
0,10,284141,2231631872,0,16,0,0
1,10,284141,2231631872,0,16,0,0
2,10,284141,2231631872,0,16,0,0
3,10,284141,2231631872,0,16,0,0
4,10,284141,2231631872,15,16,0,0
5,10,284141,2231631872,1,16,0,0
6,10,284141,2231631872,0,16,0,0
7,10,284141,2231631872,1,16,0,0
8,10,284141,2231631872,1,16,0,0
9,10,284141,2231631872,0,16,0,0
10,10,284141,2231631872,0,16,0,0
11,10,284141,2231631872,0,16,0,0
12,10,284141,2231631872,12,16,0,0
13,10,284141,2231631872,0,16,0,0
14,10,284141,2231631872,0,16,0,0
15,10,284141,2231631872,0,16,0,0
0,0,284215,2231894016,3,32,0,0
1,0,284215,2231894016,3,32,0,0
2,0,284215,2231894016,143,38,0,0
3,0,284215,2231894016,109,32,0,0
4,0,284215,2231894016,106,32,0,0
5,0,284215,2231894016,2,32,0,0
6,0,284215,2231894016,2,32,0,0
7,0,284215,2231894016,0,32,0,0
8,0,284215,2231894016,0,32,0,0
9,0,284215,2231894016,0,31,0,0
10,0,284215,2231894016,0,16,0,0
11,0,284215,2231894016,0,16,0,0
12,0,284215,2231894016,9,16,0,0
13,0,284215,2231894016,0,16,0,0
14,0,284215,2231894016,2,16,0,0
15,0,284215,2231894016,1,16,0,0
0,10,284215,2231894016,0,16,0,0
1,10,284215,2231894016,0,16,0,0
2,10,284215,2231894016,0,16,0,0
3,10,284215,2231894016,0,16,0,0
4,10,284215,2231894016,17,16,0,0
5,10,284215,2231894016,1,16,0,0
6,10,284215,2231894016,0,16,0,0
7,10,284215,2231894016,1,16,0,0
8,10,284215,2231894016,1,16,0,0
9,10,284215,2231894016,0,16,0,0
10,10,284215,2231894016,0,16,0,0
11,10,284215,2231894016,0,16,0,0
12,10,284215,2231894016,13,16,0,0
13,10,284215,2231894016,0,16,0,0
14,10,284215,2231894016,0,16,0,0
15,10,284215,2231894016,0,16,0,0
0,0,284301,2232156160,3,32,0,0
1,0,284301,2232156160,3,32,0,0
2,0,284301,2232156160,143,38,0,0
3,0,284301,2232156160,113,32,0,0
4,0,284301,2232156160,110,32,0,0
5,0,284301,2232156160,23,32,0,0
6,0,284301,2232156160,2,32,0,0
7,0,284301,2232156160,0,32,0,0
8,0,284301,2232156160,0,32,0,0
9,0,284301,2232156160,0,31,0,0
10,0,284301,2232156160,0,16,0,0
11,0,284301,2232156160,0,16,0,0
12,0,284301,2232156160,11,16,0,0
13,0,284301,2232156160,0,16,0,0
14,0,284301,2232156160,2,16,0,0
15,0,284301,2232156160,2,16,0,0
0,10,284301,2232156160,0,16,0,0
1,10,284301,2232156160,0,16,0,0
2,10,284301,2232156160,0,16,0,0
3,10,284301,2232156160,0,16,0,0
4,10,284301,2232156160,17,16,0,0
5,10,284301,2232156160,2,16,0,0
6,10,284301,2232156160,0,16,0,0
7,10,284301,2232156160,1,16,0,0
8,10,284301,2232156160,1,16,0,0
9,10,284301,2232156160,0,16,0,0
10,10,284301,2232156160,0,16,0,0
11,10,284301,2232156160,0,16,0,0
12,10,284301,2232156160,15,16,0,0
13,10,284301,2232156160,0,16,0,0
14,10,284301,2232156160,0,16,0,0
15,10,284301,2232156160,1,16,0,0
0,0,533553,3254779904,744,48,0,0
1,0,533553,3254779904,752,48,0,0
2,0,533553,3254779904,887,38,0,0
3,0,533553,3254779904,7029,32,0,0
4,0,533553,3254779904,1136,32,0,0
5,0,533553,3254779904,1136,32,0,0
6,0,533553,3254779904,1136,32,0,0
7,0,533553,3254779904,1136,32,0,0
8,0,533553,3254779904,1136,32,0,0
9,0,533553,3254779904,1136,31,0,0
10,0,533553,3254779904,1136,16,0,0
11,0,533553,3254779904,1136,16,0,0
12,0,533553,3254779904,720,16,0,0
13,0,533553,3254779904,720,16,0,0
14,0,533553,3254779904,720,16,0,0
15,0,533553,3254779904,720,16,0,0
0,10,533553,3254779904,720,16,0,0
1,10,533553,3254779904,720,16,0,0
2,10,533553,3254779904,720,16,0,0
3,10,533553,3254779904,720,16,0,0
4,10,533553,3254779904,976,16,0,0
5,10,533553,3254779904,976,16,0,0
6,10,533553,3254779904,976,16,0,0
7,10,533553,3254779904,976,16,0,0
8,10,533553,3254779904,816,32,0,0
9,10,533553,3254779904,816,32,0,0
10,10,533553,3254779904,816,32,0,0
11,10,533553,3254779904,816,32,0,0
12,10,533553,3254779904,736,32,0,0
13,10,533553,3254779904,736,32,0,0
14,10,533553,3254779904,736,32,0,0
15,10,533553,3254779904,736,32,0,0
0,0,533571,3255304192,744,48,0,0
1,0,533571,3255304192,752,48,0,0
2,0,533571,3255304192,887,38,0,0
3,0,533571,3255304192,7029,32,0,0
4,0,533571,3255304192,1136,32,0,0
5,0,533571,3255304192,1136,32,0,0
6,0,533571,3255304192,1136,32,0,0
7,0,533571,3255304192,1136,32,0,0
8,0,533571,3255304192,1136,32,0,0
9,0,533571,3255304192,1136,31,0,0
10,0,533571,3255304192,1136,16,0,0
11,0,533571,3255304192,1136,16,0,0
12,0,533571,3255304192,720,16,0,0
13,0,533571,3255304192,720,16,0,0
14,0,533571,3255304192,720,16,0,0
15,0,533571,3255304192,720,16,0,0
0,10,533571,3255304192,720,16,0,0
1,10,533571,3255304192,720,16,0,0
2,10,533571,3255304192,720,16,0,0
3,10,533571,3255304192,720,16,0,0
4,10,533571,3255304192,976,16,0,0
5,10,533571,3255304192,976,16,0,0
6,10,533571,3255304192,976,16,0,0
