x,y,global_ctr,tag,ld,st,amoswap,amoor
0,0,388382,84148224,0,80,0,0
1,0,388382,84148224,0,80,0,0
2,0,388382,84148224,0,80,0,0
3,0,388382,84148224,0,80,0,0
4,0,388382,84148224,0,80,0,0
5,0,388382,84148224,0,80,0,0
6,0,388382,84148224,0,80,0,0
7,0,388382,84148224,0,80,0,0
8,0,388382,84148224,0,80,0,0
9,0,388382,84148224,0,80,0,0
10,0,388382,84148224,0,80,0,0
11,0,388382,84148224,0,80,0,0
12,0,388382,84148224,0,80,0,0
13,0,388382,84148224,0,80,0,0
14,0,388382,84148224,0,70,0,0
15,0,388382,84148224,0,64,0,0
0,10,388382,84148224,120,71,0,0
1,10,388382,84148224,0,64,0,0
2,10,388382,84148224,0,64,0,0
3,10,388382,84148224,0,64,0,0
4,10,388382,84148224,0,64,0,0
5,10,388382,84148224,0,64,0,0
6,10,388382,84148224,0,64,0,0
7,10,388382,84148224,0,64,0,0
8,10,388382,84148224,0,64,0,0
9,10,388382,84148224,0,64,0,0
10,10,388382,84148224,0,64,0,0
11,10,388382,84148224,0,64,0,0
12,10,388382,84148224,0,64,0,0
13,10,388382,84148224,0,64,0,0
14,10,388382,84148224,0,64,0,0
15,10,388382,84148224,0,64,0,0
0,0,388442,2231894016,0,80,0,0
1,0,388442,2231894016,0,80,0,0
2,0,388442,2231894016,0,80,0,0
3,0,388442,2231894016,0,80,0,0
4,0,388442,2231894016,0,80,0,0
5,0,388442,2231894016,0,80,0,0
6,0,388442,2231894016,0,80,0,0
7,0,388442,2231894016,0,80,0,0
8,0,388442,2231894016,0,80,0,0
9,0,388442,2231894016,0,80,0,0
10,0,388442,2231894016,0,80,0,0
11,0,388442,2231894016,0,80,0,0
12,0,388442,2231894016,0,80,0,0
13,0,388442,2231894016,0,80,0,0
14,0,388442,2231894016,0,70,0,0
15,0,388442,2231894016,0,64,0,0
0,10,388442,2231894016,128,71,0,0
1,10,388442,2231894016,0,64,0,0
2,10,388442,2231894016,0,64,0,0
3,10,388442,2231894016,0,64,0,0
4,10,388442,2231894016,0,64,0,0
5,10,388442,2231894016,0,64,0,0
6,10,388442,2231894016,0,64,0,0
7,10,388442,2231894016,0,64,0,0
8,10,388442,2231894016,0,64,0,0
9,10,388442,2231894016,0,64,0,0
10,10,388442,2231894016,0,64,0,0
11,10,388442,2231894016,0,64,0,0
12,10,388442,2231894016,0,64,0,0
13,10,388442,2231894016,0,64,0,0
14,10,388442,2231894016,0,64,0,0
15,10,388442,2231894016,0,64,0,0
0,0,388458,84410368,0,80,0,0
1,0,388458,84410368,0,80,0,0
2,0,388458,84410368,0,80,0,0
3,0,388458,84410368,0,80,0,0
4,0,388458,84410368,0,80,0,0
5,0,388458,84410368,0,80,0,0
6,0,388458,84410368,0,80,0,0
7,0,388458,84410368,0,80,0,0
8,0,388458,84410368,0,80,0,0
9,0,388458,84410368,0,80,0,0
10,0,388458,84410368,0,80,0,0
11,0,388458,84410368,0,80,0,0
12,0,388458,84410368,0,80,0,0
13,0,388458,84410368,0,80,0,0
14,0,388458,84410368,0,70,0,0
15,0,388458,84410368,0,64,0,0
0,10,388458,84410368,128,71,0,0
1,10,388458,84410368,0,64,0,0
2,10,388458,84410368,0,64,0,0
3,10,388458,84410368,0,64,0,0
4,10,388458,84410368,0,64,0,0
5,10,388458,84410368,0,64,0,0
6,10,388458,84410368,0,64,0,0
7,10,388458,84410368,0,64,0,0
8,10,388458,84410368,0,64,0,0
9,10,388458,84410368,0,64,0,0
10,10,388458,84410368,0,64,0,0
11,10,388458,84410368,0,64,0,0
12,10,388458,84410368,0,64,0,0
13,10,388458,84410368,0,64,0,0
14,10,388458,84410368,0,64,0,0
15,10,388458,84410368,0,64,0,0
0,0,388528,2232156160,0,80,0,0
1,0,388528,2232156160,0,80,0,0
2,0,388528,2232156160,0,80,0,0
3,0,388528,2232156160,0,80,0,0
4,0,388528,2232156160,0,80,0,0
5,0,388528,2232156160,0,80,0,0
6,0,388528,2232156160,0,80,0,0
7,0,388528,2232156160,0,80,0,0
8,0,388528,2232156160,0,80,0,0
9,0,388528,2232156160,0,80,0,0
10,0,388528,2232156160,0,80,0,0
11,0,388528,2232156160,0,80,0,0
12,0,388528,2232156160,0,80,0,0
13,0,388528,2232156160,0,80,0,0
14,0,388528,2232156160,0,70,0,0
15,0,388528,2232156160,0,64,0,0
0,10,388528,2232156160,128,71,0,0
1,10,388528,2232156160,0,64,0,0
2,10,388528,2232156160,0,64,0,0
3,10,388528,2232156160,0,64,0,0
4,10,388528,2232156160,0,64,0,0
5,10,388528,2232156160,0,64,0,0
6,10,388528,2232156160,0,64,0,0
7,10,388528,2232156160,0,64,0,0
8,10,388528,2232156160,0,64,0,0
9,10,388528,2232156160,0,64,0,0
10,10,388528,2232156160,0,64,0,0
11,10,388528,2232156160,0,64,0,0
12,10,388528,2232156160,0,64,0,0
13,10,388528,2232156160,0,64,0,0
14,10,388528,2232156160,0,64,0,0
15,10,388528,2232156160,0,64,0,0
0,0,388544,84672512,0,80,0,0
1,0,388544,84672512,0,80,0,0
2,0,388544,84672512,0,80,0,0
3,0,388544,84672512,0,80,0,0
4,0,388544,84672512,0,80,0,0
5,0,388544,84672512,0,80,0,0
6,0,388544,84672512,0,80,0,0
7,0,388544,84672512,0,80,0,0
8,0,388544,84672512,0,80,0,0
9,0,388544,84672512,0,80,0,0
10,0,388544,84672512,0,80,0,0
11,0,388544,84672512,0,80,0,0
12,0,388544,84672512,0,80,0,0
13,0,388544,84672512,0,80,0,0
14,0,388544,84672512,0,70,0,0
15,0,388544,84672512,0,64,0,0
0,10,388544,84672512,128,71,0,0
1,10,388544,84672512,0,64,0,0
2,10,388544,84672512,0,64,0,0
3,10,388544,84672512,0,64,0,0
4,10,388544,84672512,0,64,0,0
5,10,388544,84672512,0,64,0,0
6,10,388544,84672512,0,64,0,0
7,10,388544,84672512,0,64,0,0
8,10,388544,84672512,0,64,0,0
9,10,388544,84672512,0,64,0,0
10,10,388544,84672512,0,64,0,0
11,10,388544,84672512,0,64,0,0
12,10,388544,84672512,0,64,0,0
13,10,388544,84672512,0,64,0,0
14,10,388544,84672512,0,64,0,0
15,10,388544,84672512,0,64,0,0
0,0,538643,1108082688,6368,96,0,0
1,0,538643,1108082688,6504,96,0,0
2,0,538643,1108082688,6492,96,0,0
3,0,538643,1108082688,6504,96,0,0
4,0,538643,1108082688,6676,96,0,0
5,0,538643,1108082688,7644,96,0,0
6,0,538643,1108082688,6768,96,0,0
7,0,538643,1108082688,6768,96,0,0
8,0,538643,1108082688,6748,96,0,0
9,0,538643,1108082688,6563,96,0,0
10,0,538643,1108082688,6544,96,0,0
11,0,538643,1108082688,6744,96,0,0
12,0,538643,1108082688,6740,90,0,0
13,0,538643,1108082688,6736,86,0,0
14,0,538643,1108082688,6672,74,0,0
15,0,538643,1108082688,6628,70,0,0
0,10,538643,1108082688,6664,81,0,0
1,10,538643,1108082688,6488,80,0,0
2,10,538643,1108082688,6484,80,0,0
3,10,538643,1108082688,6504,80,0,0
4,10,538643,1108082688,6483,80,0,0
5,10,538643,1108082688,6400,80,0,0
6,10,538643,1108082688,6376,80,0,0
7,10,538643,1108082688,6280,80,0,0
8,10,538643,1108082688,6240,80,0,0
9,10,538643,1108082688,6232,80,0,0
10,10,538643,1108082688,6248,80,0,0
11,10,538643,1108082688,6252,80,0,0
12,10,538643,1108082688,6256,80,0,0
13,10,538643,1108082688,6236,80,0,0
14,10,538643,1108082688,6232,80,0,0
15,10,538643,1108082688,6240,80,0,0
0,0,538688,1124859904,6368,96,0,0
1,0,538688,1124859904,6504,96,0,0
2,0,538688,1124859904,6492,96,0,0
3,0,538688,1124859904,6504,96,0,0
4,0,538688,1124859904,6676,96,0,0
5,0,538688,1124859904,7644,96,0,0
6,0,538688,1124859904,6768,96,0,0
7,0,538688,1124859904,6768,96,0,0
8,0,538688,1124859904,6748,96,0,0
9,0,538688,1124859904,6566,96,0,0
10,0,538688,1124859904,6547,96,0,0
11,0,538688,1124859904,6744,96,0,0
12,0,538688,1124859904,6744,90,0,0
13,0,538688,1124859904,6737,86,0,0
14,0,538688,1124859904,6672,74,0,0
15,0,538688,1124859904,6628,70,0,0
0,10,538688,1124859904,6664,81,0,0
1,10,538688,1124859904,6488,80,0,0
2,10,538688,1124859904,6484,80,0,0
3,10,538688,1124859904,6504,80,0,0
4,10,538688,1124859904,6498,80,0,0
5,10,538688,1124859904,6416,80,0,0
6,10,538688,1124859904,6392,80,0,0
7,10,538688,1124859904,6288,80,0,0
8,10,538688,1124859904,6240,80,0,0
9,10,538688,1124859904,6232,80,0,0
10,10,538688,1124859904,6248,80,0,0
11,10,538688,1124859904,6252,80,0,0
12,10,538688,1124859904,6256,80,0,0
13,10,538688,1124859904,6236,80,0,0
14,10,538688,1124859904,6232,80,0,0
15,10,538688,1124859904,6240,80,0,0
0,0,539340,1141637120,6368,96,0,0
1,0,539340,1141637120,6504,96,0,0
2,0,539340,1141637120,6508,96,0,0
3,0,539340,1141637120,6508,96,0,0
4,0,539340,1141637120,6696,96,0,0
5,0,539340,1141637120,7700,96,0,0
6,0,539340,1141637120,6798,96,0,0
7,0,539340,1141637120,6770,96,0,0
8,0,539340,1141637120,6768,96,0,0
9,0,539340,1141637120,6630,96,0,0
10,0,539340,1141637120,6582,96,0,0
11,0,539340,1141637120,6752,96,0,0
12,0,539340,1141637120,6756,92,0,0
13,0,539340,1141637120,6752,88,0,0
14,0,539340,1141637120,6736,76,0,0
15,0,539340,1141637120,6676,72,0,0
0,10,539340,1141637120,6708,81,0,0
1,10,539340,1141637120,6492,80,0,0
2,10,539340,1141637120,6520,80,0,0
3,10,539340,1141637120,6540,80,0,0
4,10,539340,1141637120,6507,80,0,0
5,10,539340,1141637120,6472,80,0,0
6,10,539340,1141637120,6404,80,0,0
7,10,539340,1141637120,6304,80,0,0
8,10,539340,1141637120,6244,80,0,0
9,10,539340,1141637120,6248,80,0,0
10,10,539340,1141637120,6252,80,0,0
11,10,539340,1141637120,6252,80,0,0
12,10,539340,1141637120,6256,80,0,0
13,10,539340,1141637120,6256,80,0,0
14,10,539340,1141637120,6252,80,0,0
15,10,539340,1141637120,6240,80,0,0
0,0,539644,1158414336,6368,96,0,0
1,0,539644,1158414336,6504,96,0,0
2,0,539644,1158414336,6520,96,0,0
3,0,539644,1158414336,6516,96,0,0
4,0,539644,1158414336,6696,96,0,0
5,0,539644,1158414336,7721,96,0,0
6,0,539644,1158414336,6798,96,0,0
7,0,539644,1158414336,6770,96,0,0
8,0,539644,1158414336,6768,96,0,0
9,0,539644,1158414336,6639,96,0,0
10,0,539644,1158414336,6596,96,0,0
11,0,539644,1158414336,6760,96,0,0
12,0,539644,1158414336,6768,92,0,0
13,0,539644,1158414336,6752,88,0,0
14,0,539644,1158414336,6752,78,0,0
15,0,539644,1158414336,6692,72,0,0
0,10,539644,1158414336,6716,83,0,0
1,10,539644,1158414336,6499,80,0,0
2,10,539644,1158414336,6534,80,0,0
3,10,539644,1158414336,6570,80,0,0
4,10,539644,1158414336,6514,80,0,0
5,10,539644,1158414336,6496,80,0,0
6,10,539644,1158414336,6444,80,0,0
7,10,539644,1158414336,6320,80,0,0
8,10,539644,1158414336,6244,80,0,0
9,10,539644,1158414336,6248,80,0,0
10,10,539644,1158414336,6252,80,0,0
11,10,539644,1158414336,6264,80,0,0
12,10,539644,1158414336,6272,80,0,0
13,10,539644,1158414336,6268,80,0,0
14,10,539644,1158414336,6252,80,0,0
15,10,539644,1158414336,6240,80,0,0
0,0,540006,1124597760,6368,96,0,0
1,0,540006,1124597760,6504,96,0,0
2,0,540006,1124597760,6520,96,0,0
3,0,540006,1124597760,6528,96,0,0
4,0,540006,1124597760,6704,96,0,0
5,0,540006,1124597760,7744,96,0,0
6,0,540006,1124597760,6815,96,0,0
7,0,540006,1124597760,6771,96,0,0
8,0,540006,1124597760,6768,96,0,0
9,0,540006,1124597760,6651,96,0,0
10,0,540006,1124597760,6641,96,0,0
11,0,540006,1124597760,6772,96,0,0
12,0,540006,1124597760,6772,92,0,0
13,0,540006,1124597760,6768,88,0,0
14,0,540006,1124597760,6752,78,0,0
15,0,540006,1124597760,6716,72,0,0
0,10,540006,1124597760,6732,83,0,0
1,10,540006,1124597760,6508,80,0,0
2,10,540006,1124597760,6545,80,0,0
3,10,540006,1124597760,6585,80,0,0
4,10,540006,1124597760,6536,80,0,0
5,10,540006,1124597760,6496,80,0,0
6,10,540006,1124597760,6468,80,0,0
7,10,540006,1124597760,6328,80,0,0
8,10,540006,1124597760,6256,80,0,0
9,10,540006,1124597760,6256,80,0,0
10,10,540006,1124597760,6252,80,0,0
11,10,540006,1124597760,6264,80,0,0
12,10,540006,1124597760,6272,80,0,0
13,10,540006,1124597760,6268,80,0,0
14,10,540006,1124597760,6252,80,0,0
15,10,540006,1124597760,6240,80,0,0
0,0,540512,1107820544,6368,96,0,0
1,0,540512,1107820544,6504,96,0,0
2,0,540512,1107820544,6520,96,0,0
3,0,540512,1107820544,6528,96,0,0
4,0,540512,1107820544,6704,96,0,0
5,0,540512,1107820544,7772,96,0,0
6,0,540512,1107820544,6853,96,0,0
7,0,540512,1107820544,6772,96,0,0
8,0,540512,1107820544,6768,96,0,0
9,0,540512,1107820544,6672,96,0,0
10,0,540512,1107820544,6663,96,0,0
11,0,540512,1107820544,6772,96,0,0
12,0,540512,1107820544,6776,92,0,0
13,0,540512,1107820544,6784,92,0,0
14,0,540512,1107820544,6752,78,0,0
15,0,540512,1107820544,6740,74,0,0
0,10,540512,1107820544,6760,83,0,0
1,10,540512,1107820544,6528,80,0,0
2,10,540512,1107820544,6558,80,0,0
3,10,540512,1107820544,6632,80,0,0
4,10,540512,1107820544,6570,80,0,0
5,10,540512,1107820544,6496,80,0,0
6,10,540512,1107820544,6496,80,0,0
7,10,540512,1107820544,6368,80,0,0
8,10,540512,1107820544,6256,80,0,0
9,10,540512,1107820544,6256,80,0,0
10,10,540512,1107820544,6264,80,0,0
11,10,540512,1107820544,6272,80,0,0
12,10,540512,1107820544,6272,80,0,0
13,10,540512,1107820544,6272,80,0,0
14,10,540512,1107820544,6272,80,0,0
15,10,540512,1107820544,6256,80,0,0
0,0,540559,1141374976,6368,96,0,0
1,0,540559,1141374976,6504,96,0,0
2,0,540559,1141374976,6520,96,0,0
3,0,540559,1141374976,6528,96,0,0
4,0,540559,1141374976,6704,96,0,0
5,0,540559,1141374976,7772,96,0,0
6,0,540559,1141374976,6855,96,0,0
7,0,540559,1141374976,6772,96,0,0
8,0,540559,1141374976,6768,96,0,0
9,0,540559,1141374976,6674,96,0,0
10,0,540559,1141374976,6664,96,0,0
11,0,540559,1141374976,6772,96,0,0
12,0,540559,1141374976,6776,92,0,0
13,0,540559,1141374976,6784,92,0,0
14,0,540559,1141374976,6752,78,0,0
15,0,540559,1141374976,6752,76,0,0
0,10,540559,1141374976,6763,83,0,0
1,10,540559,1141374976,6528,80,0,0
2,10,540559,1141374976,6558,80,0,0
3,10,540559,1141374976,6632,80,0,0
4,10,540559,1141374976,6573,80,0,0
5,10,540559,1141374976,6496,80,0,0
6,10,540559,1141374976,6496,80,0,0
7,10,540559,1141374976,6368,80,0,0
8,10,540559,1141374976,6256,80,0,0
9,10,540559,1141374976,6256,80,0,0
10,10,540559,1141374976,6264,80,0,0
11,10,540559,1141374976,6272,80,0,0
12,10,540559,1141374976,6272,80,0,0
13,10,540559,1141374976,6272,80,0,0
14,10,540559,1141374976,6272,80,0,0
15,10,540559,1141374976,6256,80,0,0
0,0,541093,1158152192,6384,96,0,0
1,0,541093,1158152192,6508,96,0,0
2,0,541093,1158152192,6520,96,0,0
3,0,541093,1158152192,6528,96,0,0
4,0,541093,1158152192,6704,96,0,0
5,0,541093,1158152192,7808,96,0,0
6,0,541093,1158152192,6882,96,0,0
7,0,541093,1158152192,6789,96,0,0
8,0,541093,1158152192,6772,96,0,0
9,0,541093,1158152192,6710,96,0,0
10,0,541093,1158152192,6680,96,0,0
11,0,541093,1158152192,6784,96,0,0
12,0,541093,1158152192,6784,94,0,0
13,0,541093,1158152192,6784,96,0,0
14,0,541093,1158152192,6768,80,0,0
15,0,541093,1158152192,6756,80,0,0
0,10,541093,1158152192,6768,83,0,0
1,10,541093,1158152192,6528,80,0,0
2,10,541093,1158152192,6576,80,0,0
3,10,541093,1158152192,6656,80,0,0
4,10,541093,1158152192,6582,80,0,0
5,10,541093,1158152192,6512,80,0,0
6,10,541093,1158152192,6500,80,0,0
7,10,541093,1158152192,6368,80,0,0
8,10,541093,1158152192,6256,80,0,0
9,10,541093,1158152192,6256,80,0,0
10,10,541093,1158152192,6264,80,0,0
11,10,541093,1158152192,6272,80,0,0
