x,y,global_ctr,tag,ld,st,amoswap,amoor
0,0,386524,2231894016,0,64,0,0
1,0,386524,2231894016,0,64,0,0
2,0,386524,2231894016,128,71,0,0
3,0,386524,2231894016,0,64,0,0
4,0,386524,2231894016,0,64,0,0
5,0,386524,2231894016,0,64,0,0
6,0,386524,2231894016,0,64,0,0
7,0,386524,2231894016,0,64,0,0
8,0,386524,2231894016,0,64,0,0
9,0,386524,2231894016,0,64,0,0
10,0,386524,2231894016,0,64,0,0
11,0,386524,2231894016,0,64,0,0
12,0,386524,2231894016,0,64,0,0
13,0,386524,2231894016,0,64,0,0
14,0,386524,2231894016,0,64,0,0
15,0,386524,2231894016,0,64,0,0
0,10,386524,2231894016,0,64,0,0
1,10,386524,2231894016,0,64,0,0
2,10,386524,2231894016,0,62,0,0
3,10,386524,2231894016,0,48,0,0
4,10,386524,2231894016,0,48,0,0
5,10,386524,2231894016,0,48,0,0
6,10,386524,2231894016,0,48,0,0
7,10,386524,2231894016,0,48,0,0
8,10,386524,2231894016,0,48,0,0
9,10,386524,2231894016,0,48,0,0
10,10,386524,2231894016,0,48,0,0
11,10,386524,2231894016,0,48,0,0
12,10,386524,2231894016,0,48,0,0
13,10,386524,2231894016,0,48,0,0
14,10,386524,2231894016,0,48,0,0
15,10,386524,2231894016,0,48,0,0
0,0,386540,84410368,0,64,0,0
1,0,386540,84410368,0,64,0,0
2,0,386540,84410368,128,71,0,0
3,0,386540,84410368,0,64,0,0
4,0,386540,84410368,0,64,0,0
5,0,386540,84410368,0,64,0,0
6,0,386540,84410368,0,64,0,0
7,0,386540,84410368,0,64,0,0
8,0,386540,84410368,0,64,0,0
9,0,386540,84410368,0,64,0,0
10,0,386540,84410368,0,64,0,0
11,0,386540,84410368,0,64,0,0
12,0,386540,84410368,0,64,0,0
13,0,386540,84410368,0,64,0,0
14,0,386540,84410368,0,64,0,0
15,0,386540,84410368,0,64,0,0
0,10,386540,84410368,0,64,0,0
1,10,386540,84410368,0,64,0,0
2,10,386540,84410368,0,62,0,0
3,10,386540,84410368,0,48,0,0
4,10,386540,84410368,0,48,0,0
5,10,386540,84410368,0,48,0,0
6,10,386540,84410368,0,48,0,0
7,10,386540,84410368,0,48,0,0
8,10,386540,84410368,0,48,0,0
9,10,386540,84410368,0,48,0,0
10,10,386540,84410368,0,48,0,0
11,10,386540,84410368,0,48,0,0
12,10,386540,84410368,0,48,0,0
13,10,386540,84410368,0,48,0,0
14,10,386540,84410368,0,48,0,0
15,10,386540,84410368,0,48,0,0
0,0,386610,2232156160,0,64,0,0
1,0,386610,2232156160,0,64,0,0
2,0,386610,2232156160,128,71,0,0
3,0,386610,2232156160,0,64,0,0
